Wavelength (nm),Power (W/m2/nm)
573.14,0.0085
573.494,0.0086
573.847,0.0085
574.201,0.0086
574.555,0.0086
574.908,0.0085
575.262,0.0084
575.615,0.0084
575.969,0.0083
576.322,0.0083
576.676,0.0083
577.029,0.0083
577.382,0.0082
577.736,0.0082
578.089,0.0082
578.442,0.0082
578.795,0.0082
579.148,0.0082
579.501,0.0082
579.854,0.0081
580.207,0.0081
580.56,0.008
580.913,0.0081
581.265,0.008
581.618,0.008
581.971,0.008
582.324,0.008
582.676,0.0081
583.029,0.0081
583.381,0.008
583.734,0.0081
584.086,0.008
584.438,0.0079
584.791,0.0079
585.143,0.0079
585.495,0.0078
585.847,0.008
586.2,0.0079
586.552,0.0078
586.904,0.0077
587.256,0.0077
587.608,0.0075
587.959,0.0075
588.311,0.0075
588.663,0.0076
589.015,0.0076
589.367,0.0078
589.718,0.0078
590.07,0.0078
590.421,0.0077
590.773,0.0076
591.124,0.0074
591.476,0.0073
591.827,0.0073
592.179,0.0073
592.53,0.0073
592.881,0.0073
593.232,0.0073
593.584,0.0073
593.935,0.0074
594.286,0.0074
594.637,0.0074
594.988,0.0073
595.339,0.0073
595.689,0.0072
596.04,0.0072
596.391,0.0071
596.742,0.0071
597.092,0.007
597.443,0.0069
597.794,0.0068
598.144,0.007
598.495,0.0069
598.845,0.0069
599.196,0.007
599.546,0.007
599.896,0.0069
600.247,0.0069
600.597,0.0069
600.947,0.0068
601.297,0.0069
601.647,0.0069
601.997,0.0069
602.347,0.0068
602.697,0.0068
603.047,0.0068
603.397,0.0067
603.747,0.0067
604.096,0.0066
604.446,0.0067
604.796,0.0065
605.145,0.0065
605.495,0.0065
605.844,0.0064
606.194,0.0062
606.543,0.0062
606.893,0.0061
607.242,0.0061
607.591,0.0062
607.94,0.0063
608.29,0.0062
608.639,0.0062
608.988,0.0062
609.337,0.0061
609.686,0.006
610.035,0.006
610.384,0.0061
610.733,0.0061
611.081,0.006
611.43,0.0061
611.779,0.006
612.127,0.006
612.476,0.0059
612.825,0.0059
613.173,0.0058
613.522,0.0058
613.87,0.0056
614.218,0.0056
614.567,0.0055
614.915,0.0055
615.263,0.0054
615.611,0.0053
615.96,0.0053
616.308,0.0052
616.656,0.0051
617.004,0.0052
617.352,0.0054
617.7,0.0054
618.047,0.0054
618.395,0.0055
618.743,0.0054
619.091,0.0053
619.438,0.0053
619.786,0.0053
620.134,0.0052
620.481,0.005
620.829,0.005
621.176,0.0049
621.523,0.0049
621.871,0.0049
622.218,0.0049
622.565,0.0049
622.912,0.0048
623.259,0.0047
623.607,0.0048
623.954,0.0047
624.301,0.0047
624.648,0.0048
624.994,0.0048
625.341,0.0047
625.688,0.0047
626.035,0.0047
626.382,0.0045
626.728,0.0045
627.075,0.0045
627.421,0.0045
627.768,0.0044
628.114,0.0044
628.461,0.0043
628.807,0.0043
629.154,0.0042
629.5,0.0043
629.846,0.0043
630.192,0.0043
630.538,0.0042
630.884,0.0043
631.231,0.0042
631.577,0.0042
631.922,0.0041
632.268,0.0041
632.614,0.0041
632.96,0.004
633.306,0.0039
633.651,0.0039
633.997,0.0038
634.343,0.0038
634.688,0.0038
635.034,0.0039
635.379,0.0039
635.725,0.0038
636.07,0.0037
636.415,0.0038
636.761,0.0036
637.106,0.0035
637.451,0.0036
637.796,0.0036
638.141,0.0035
638.486,0.0035
638.831,0.0035
639.176,0.0036
639.521,0.0035
639.866,0.0034
640.211,0.0034
640.555,0.0034
640.9,0.0034
641.245,0.0034
641.589,0.0034
641.934,0.0034
642.278,0.0033
642.623,0.0031
642.967,0.0031
643.312,0.0032
643.656,0.0031
644,0.0032
644.344,0.0032
644.689,0.0031
645.033,0.0031
645.377,0.0031
645.721,0.003
646.065,0.0031
646.409,0.003
646.753,0.0029
647.096,0.0029
647.44,0.003
647.784,0.0029
648.128,0.0028
648.471,0.0028
648.815,0.0028
649.158,0.0027
649.502,0.0028
649.845,0.0027
650.189,0.0026
650.532,0.0026
650.875,0.0026
651.218,0.0025
651.562,0.0026
651.905,0.0025
652.248,0.0026
652.591,0.0025
652.934,0.0026
653.277,0.0026
653.62,0.0026
653.963,0.0025
654.305,0.0025
654.648,0.0024
654.991,0.0024
655.334,0.0025
655.676,0.0024
656.019,0.0024
656.361,0.0024
656.704,0.0023
657.046,0.0022
657.389,0.0022
657.731,0.002
658.073,0.0021
658.415,0.0021
658.757,0.0021
659.1,0.0021
659.442,0.0021
659.784,0.002
660.126,0.002
660.468,0.0021
660.809,0.002
661.151,0.0022
661.493,0.0022
661.835,0.0022
662.177,0.0021
662.518,0.002
662.86,0.002
663.201,0.0019
663.543,0.0017
663.884,0.0017
664.226,0.0017
664.567,0.0018
664.908,0.0018
665.249,0.0019
665.591,0.0019
665.932,0.0018
666.273,0.0017
666.614,0.0019
666.955,0.002
667.296,0.0019
667.637,0.0019
667.978,0.0019
668.318,0.0015
668.659,0.0015
669,0.0015
669.341,0.0016
669.681,0.0018
670.022,0.002
670.362,0.0019
670.703,0.0018
671.043,0.0017
671.383,0.0015
671.724,0.0015
672.064,0.0014
672.404,0.0015
672.744,0.0015
673.085,0.0015
673.425,0.0014
673.765,0.0016
674.105,0.0015
674.444,0.0015
674.784,0.0016
675.124,0.0015
675.464,0.0014
675.804,0.0014
676.143,0.0015
676.483,0.0015
676.823,0.0015
677.162,0.0014
677.501,0.0015
677.841,0.0015
678.18,0.0015
678.52,0.0015
678.859,0.0015
679.198,0.0015
679.537,0.0014
679.876,0.0014
680.215,0.0015
680.555,0.0015
680.894,0.0014
681.232,0.0015
681.571,0.0015
681.91,0.0015
682.249,0.0015
682.588,0.0015
682.926,0.0015
683.265,0.0015
683.604,0.0014
683.942,0.0014
684.281,0.0013
684.619,0.0013
684.957,0.0013
685.296,0.0013
685.634,0.0012
685.972,0.0012
686.31,0.0011
686.649,0.001
686.987,0.0009
687.325,0.001
687.663,0.0009
688.001,0.0009
688.338,0.0009
688.676,0.001
689.014,0.0009
689.352,0.0009
689.69,0.0009
690.027,0.001
690.365,0.0008
690.702,0.0009
691.04,0.0009
691.377,0.001
691.715,0.0009
692.052,0.0011
692.389,0.0011
692.726,0.001
693.064,0.0008
693.401,0.0009
693.738,0.0008
694.075,0.0009
694.412,0.0009
694.749,0.0011
695.086,0.001
695.423,0.001
695.759,0.0009
696.096,0.0009
696.433,0.0009
696.769,0.0007
697.106,0.0006
697.443,0.0005
697.779,0.0006
698.116,0.0004
698.452,0.0006
698.788,0.0007
699.125,0.0009
