Wavelength (nm),Power (W/m2/nm)
618.395,0.0678
618.743,0.0707
619.091,0.0736
619.438,0.0767
619.786,0.0798
620.134,0.0831
620.481,0.0862
620.829,0.09
621.176,0.0938
621.523,0.0977
621.871,0.1018
622.218,0.1061
622.565,0.1104
622.912,0.1146
623.259,0.1193
623.607,0.1238
623.954,0.1285
624.301,0.133
624.648,0.138
624.994,0.1428
625.341,0.1479
625.688,0.1525
626.035,0.1571
626.382,0.1615
626.728,0.1654
627.075,0.1693
627.421,0.1725
627.768,0.1749
628.114,0.1766
628.461,0.1774
628.807,0.1772
629.154,0.1763
629.5,0.1744
629.846,0.1711
630.192,0.167
630.538,0.1619
630.884,0.1558
631.231,0.1488
631.577,0.1418
631.922,0.134
632.268,0.126
632.614,0.1183
632.96,0.1105
633.306,0.1028
633.651,0.0958
633.997,0.0888
634.343,0.0821
634.688,0.0759
635.034,0.0704
635.379,0.0649
635.725,0.0599
636.07,0.0555
636.415,0.0518
636.761,0.0479
637.106,0.0447
637.451,0.0418
637.796,0.039
638.141,0.0362
638.486,0.0338
638.831,0.0317
639.176,0.0297
639.521,0.0278
639.866,0.0261
640.211,0.0245
640.555,0.023
640.9,0.0216
641.245,0.0203
641.589,0.0192
641.934,0.018
642.278,0.0169
642.623,0.0159
642.967,0.0149
643.312,0.0139
643.656,0.0131
644,0.0123
644.344,0.0115
644.689,0.0106
645.033,0.0099
645.377,0.0093
645.721,0.0086
646.065,0.0082
646.409,0.0078
646.753,0.0074
647.096,0.0069
647.44,0.0066
647.784,0.0062
648.128,0.0058
648.471,0.0054
648.815,0.0051
649.158,0.0047
649.502,0.0043
649.845,0.0041
650.189,0.0039
650.532,0.0037
650.875,0.0035
651.218,0.0033
651.562,0.0031
651.905,0.0029
652.248,0.0028
652.591,0.0025
652.934,0.0025
653.277,0.0024
653.62,0.0022
653.963,0.0021
654.305,0.0019
654.648,0.0019
654.991,0.0019
655.334,0.0019
655.676,0.0018
656.019,0.0018
656.361,0.0017
656.704,0.0015
657.046,0.0014
657.389,0.0013
657.731,0.0013
658.073,0.0014
658.415,0.0014
658.757,0.0014
659.1,0.0013
659.442,0.0012
659.784,0.0011
660.126,0.0011
660.468,0.0012
660.809,0.0011
661.151,0.0011
661.493,0.0011
661.835,0.001
662.177,0.0009
662.518,0.0009
662.86,0.001
663.201,0.0008
663.543,0.0007
663.884,0.0008
664.226,0.0008
664.567,0.0008
664.908,0.0009
665.249,0.0009
665.591,0.0008
665.932,0.0007
666.273,0.0006
666.614,0.0007
666.955,0.0008
667.296,0.0008
667.637,0.0008
667.978,0.0007
668.318,0.0004
668.659,0.0005
669,0.0004
669.341,0.0005
669.681,0.0005
670.022,0.0006
670.362,0.0004
670.703,0.0004
671.043,0.0004
671.383,0.0003
671.724,0.0003
672.064,0.0003
672.404,0.0002
672.744,0.0003
673.085,0.0003
673.425,0.0004
673.765,0.0005
674.105,0.0005
674.444,0.0005
674.784,0.0005
675.124,0.0005
675.464,0.0004
675.804,0.0005
676.143,0.0004
676.483,0.0004
676.823,0.0003
677.162,0.0003
677.501,0.0003
677.841,0.0004
678.18,0.0004
678.52,0.0004
678.859,0.0004
679.198,0.0003
679.537,0.0003
679.876,0.0003
680.215,0.0003
680.555,0.0004
680.894,0.0003
681.232,0.0004
681.571,0.0003
681.91,0.0004
682.249,0.0003
682.588,0.0003
682.926,0.0003
683.265,0.0003
683.604,0.0002
683.942,0.0002
684.281,0.0004
684.619,0.0003
684.957,0.0004
685.296,0.0004
685.634,0.0004
685.972,0.0004
686.31,0.0002
686.649,0.0003
686.987,0.0003
687.325,0.0004
687.663,0.0004
688.001,0.0005
688.338,0.0003
688.676,0.0003
689.014,0.0002
689.352,0.0003
689.69,0.0003
690.027,0.0003
690.365,0.0002
690.702,0.0002
691.04,0.0003
691.377,0.0004
691.715,0.0004
692.052,0.0004
692.389,0.0005
692.726,0.0003
693.064,0
693.401,0
693.738,0.0001
694.075,0.0002
694.412,0.0003
694.749,0.0005
695.086,0.0003
695.423,0.0004
695.759,0.0002
696.096,0.0002
696.433,0.0002
696.769,0.0002
697.106,0.0002
697.443,0.0002
697.779,0.0002
698.116,0.0001
698.452,0.0001
698.788,0.0001
699.125,0.0001
699.461,0.0003
699.797,0.0005
700.133,0.0004
700.469,0.0004
700.805,0.0003
701.141,0
